Boat,Class,Name
16,SC,Miss Edwina Celia Troutt
16,TC,Miss Anna Karen Abelseth
A,CR,Mr. Edward Brown
A,CR,Mr. John or James Thompson
A,FC,Mr. George Lucien Rheims
A,FC,Mr. Peter Denis Daly
A,FC,Mr. Richard Norris Williams II
A,FC,Mr. Thomson Beattie
A,OT,a boy with a name that sounded like volunteer
A,OT,two or three crew who died during the night32
A,OT,two unidentified bodies
A,TC,Mr. August Edvard Wennerstrom
A,TC,Mr. Carl Jonsson
A,TC,Mr. Carl Olof Jansson
A,TC,Mr. Edvard Bengtsson Lindell
A,TC,Mr. Gunnar Isidor Tenglin
A,TC,Mr. Olaus Abelseth
A,TC,Mr. William Henry Tornquist
A,TC,Mrs. Stanton (Rosa) Abbott
B,CR,Cmdr. Charles Herbert Lightoller
B,CR,Mr. Charles Joughin
B,CR,Mr. Ernest Allan22 or Allen
B,CR,Mr. Harold Sydney Bride
B,CR,Mr. Harry Senior
B,CR,Mr. J. Hagen
B,CR,Mr. James McGann
B,CR,Mr. John Collins
B,CR,Mr. John George Jack Phillips
B,CR,Mr. John Maynard
B,CR,Mr. Sydney Daniels
B,CR,Mr. Thayer estimated about 20 firemen were aboard
B,CR,Mr. Thomas Whiteley
B,CR,Mr. Walter Wally Hurst
B,FC,Col. Archibald Gracie IV
B,FC,John Borland Jack Thayer Jr.
B,FC,Mr. Algernon H. Barkworth
B,SC,Mr. William John Mellor
B,TC,Mr. Albert Johan Moss
B,TC,Mr. Edward Arthur Dorkings
B,TC,Mr. Eugene Daly
B,TC,Mr. Oscar Johansson Olsson
B,TC,Mr. Patrick OKeefe
B,TC,Mr. Thomas J. McCormack
B,TC,Mr. Victor Francis Sunderland
C,CR,Mr. Albert or Alfred Victor Pearcey
C,CR,Mr. August A.H. Weikman
C,CR,Mr. George Thomas Rowe
C,FC,Mr. Joseph Bruce Ismay
C,FC,Mr. William Ernest Carter
C,OT,four stowaways
C,OT,three firemen 9
C,TC,Master Frank John William Goldsmith
C,TC,Master George Touma or Thomas
C,TC,Miss Emily Elsie Stanley
C,TC,Miss Hanna Touma or Thomas
C,TC,Miss Margaret Devaney
C,TC,Miss May Howard
C,TC,Mr. Ling Hee
C,TC,Mrs. Darwin (Anna Razi) Touma or Thomas
C,TC,Mrs. Frank John (Emily A. Brown) Goldsmith
C,TC,Mrs. Mariana Assaf
D,CR,Mary or May Sloan 22 or Sloane
D,CR,Miss A. Caton
D,CR,Miss Evelyn Marsden
D,CR,Miss T. E. Smith
